identifier,govIdentifier,RWStype,URL,name,description,siteAddressName,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,openingHoursNotes,openingHoursTransportRestrictions,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,proofOfResidency,accessibilityNotes,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo
open3r-tb-eng-dnc-coop0022,,tb,https://www.coop.co.uk/store-finder/DN9-3NB/hayfield-lane?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Auckley-Hayfield-Lane-Doncaster,Auckley - Hayfield Lane,,Co-op Food,Hayfield Lane,Doncaster,Doncaster,eng,DN9 3NB,53.490389,-1.022606,+44 1302 772374,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-lan-coop0023,,tb,https://www.coop.co.uk/store-finder/L39-6SF/58-town-green-lane?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Aughton-Town-Green-Lane-Ormskirk,Aughton - Town Green Lane,,Co-op Food,58 Town Green Lane,Ormskirk,Lancashire,eng,L39 6SF,53.543678,-2.90524,+44 1695 422380,Mo-Sa 07:00-22:00; Su 08:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-bst-coop0024,,tb,https://www.coop.co.uk/store-finder/BS11-9EG/193-195-avonmouth-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Avonmouth-Bristol,Avonmouth,,Co-op Food,193-195 Avonmouth Road,Bristol,City of Bristol,eng,BS11 9EG,51.499254,-2.695273,+44 117 9822267,06:00-23:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-dev-coop0025,,tb,https://www.coop.co.uk/store-finder/EX13-5PA/west-street?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Axminster-Axminster,Axminster - South Street,,Co-op Food,11 South Street,Axminster,Devon,eng,EX13 5AD,50.780663,-2.999539,+44 1297 35224,Mo-Sa 07:00-22:00; Su 10:00-16:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-buc-coop0026,,tb,https://www.coop.co.uk/store-finder/HP21-8TJ/hannon-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Aylesbury-Walton-Court-Aylesbury,Aylesbury - Walton Court,,Co-op Food,Hannon Road,Aylesbury,Buckinghamshire,eng,HP21 8TJ,51.80215,-0.822357,+44 1296 431479,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-hal-coop0027,,tb,https://www.coop.co.uk/store-finder/WA7-4PH/66-70-balfour-street?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Balfour-St-Runcorn,Balfour St,,Co-op Food,66-70 Balfour Street,Halton,Cheshire,eng,WA7 4PH,53.336487,-2.738076,+44 1928 568280,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-gla-coop0028,,tb,https://www.coop.co.uk/store-finder/NW7-1NW/retail-unit-24-royal-engineers-way?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Barnet-Millbrook-Park-Barnet,Barnet - Millbrook Park,,Co-op Food,"Retail Unit, 24 Royal
Engineers Way",Barnet,London,eng,NW7 1NW,51.609314,-0.210025,+44 20 83719296,06:00-23:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-lan-coop0029,,tb,https://www.coop.co.uk/store-finder/BB18-6AB/rainhall-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Barnoldswick-Barnoldswick,Barnoldswick,,Co-op Food,Rainhall Road,Barnoldswick,Lancashire,eng,BB18 6AB,53.916611,-2.18503,+44 1282 816425,Mo-Sa 07:00-22:00; Su 10:00-16:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-cma-coop0030,,tb,https://www.coop.co.uk/store-finder/LA14-5LF/abbey-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Barrow-in-Furness-Abbey-Road-Barrow-in-Furness,Barrow-in-Furness - Abbey Road,,Co-op Food,Abbey Road,Barrow-in-Furness,Cumbria,eng,LA14 5LF,54.126903,-3.214912,+44 1229 828029,06:00-23:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-gla-coop0031,,tb,https://www.coop.co.uk/store-finder/SW11-3BA/27-35-battersea-bridge-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Battersea-London,Battersea,,Co-op Food,27-35 Battersea Bridge Road,London,Greater London,eng,SW11 3BA,51.479141,-0.170503,+44 20 79247489,06:00-23:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-gla-coop0032,,tb,https://www.coop.co.uk/store-finder/SW11-3SE/8-40-chatfield-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Battersea-Chatfield-Road-London,Battersea - Chatfield Road,,Co-op Food,8-40 Chatfield Road,London,Greater London,eng,SW11 3SE,51.465628,-0.181482,+44 20 72283505,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-gat-coop0033,,tb,https://www.coop.co.uk/store-finder/NE9-6TA/beacon-lough-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Beacon-Lough-Gateshead-Gateshead,Beacon Lough - Gateshead,,Co-op Food,Beacon Lough Road,Gateshead,Gateshead,eng,NE9 6TA,54.932721,-1.587462,+44 191 4877108,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-gla-coop0034,,tb,https://www.coop.co.uk/store-finder/BR3-5HZ/unit-7-g03a-beckenham-junction?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Beckenham-Albermarle-Road-London,Beckenham - Albermarle Road,,Co-op Food,Unit 7 G03a Beckenham Junction,London,Greater London,eng,BR3 5HZ,51.410301,-0.023927,+44 20 86501437,06:00-23:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-cbf-coop0035,,tb,https://www.coop.co.uk/store-finder/MK41-9JF/queens-drive?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Bedford-Queens-Drive-Bedford,Bedford - Queens Drive,,Co-op Food,Queens Drive,Bedford,Central Bedfordshire,eng,MK41 9JF,52.148763,-0.438637,+44 1234 348816,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-nbl-coop0036,,tb,https://www.coop.co.uk/store-finder/NE22-5HB/10-station-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Bedlington-Station-Bedlington,Bedlington Station,,Co-op Food,10 Station Road,Bedlington,Northumberland,eng,NE22 5HB,55.13951,-1.569914,+44 1670 822287,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-nth-coop0037,,tb,https://www.coop.co.uk/store-finder/NN3-9DG/field-mill-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Bellinge-Northampton,Bellinge,,Co-op Food,Field Mill Road,Northampton,Northamptonshire,eng,NN3 9DG,52.252495,-0.813712,+44 1604 415673,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-gla-coop0038,,tb,https://www.coop.co.uk/store-finder/SE6-2RP/335-337-bromley-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Bellingham-Bromley-Road-London,Bellingham - Bromley Road,,Co-op Food,335-337 Bromley Road,London,Greater London,eng,SE6 2RP,51.429179,-0.013646,+44 20 86986425,07:00-23:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-dby-coop0039,,tb,https://www.coop.co.uk/store-finder/DE56-0HB/17-whitemoor-lane?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Belper-Whitemoor-Lane-Belper,Belper - Whitemoor Lane,,Co-op Food,17 Whitemoor Lane,Belper,Derbyshire,eng,DE56 0HB,53.028189,-1.461478,+44 1773 599690,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bembridge Drive - Derby,,Co-op Food,Bembridge Drive,Derby,Derbyshire,eng,DE24 0UQ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Benfleet - Kiln Road,,Co-op Food,Kiln Road,Benfleet,Essex,eng,SS7 1TE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Berrycroft,,Co-op Food,30 Berrycroft Lane,Stockport,Cheshire,eng,SK6 3AU,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Beverley - Lincoln Way,,Co-op Food,Lincoln Way,Beverley,East Riding of Yorkshire,eng,HU17 8RH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Biggin Hill - Rosehill Road,,Co-op Food,16 - 18 Rosehill Road,Westerham,Kent,eng,TN16 3NF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Billingborough - High Street,,Co-op Food,34 High Street,Sleaford,Lincolnshire,eng,NG34 0QA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Billinge,,Co-op Food,188 Main Street,Wigan,Lancashire,eng,WN5 7PE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Birchfield Road,,Co-op Food,231 Birchfield Road East,Northampton,Northamptonshire,eng,NN3 2HG,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Birdsfoot Lane,,Co-op Food,259 Birdsfoot Lane,Luton,Bedfordshire,eng,LU3 2HX,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Birmingham - Bristol Street,,Co-op Food,Bristol Street,Birmingham,West Midlands,eng,B15 2DE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Birmingham - Exchange Square,,Co-op Food,46 The Priory Queensway,Birmingham,West Midlands,eng,B4 6FN,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Birmingham - Gorse Farm Road,,Co-op Food,Gorse Farm Road,Birmingham,West Midlands,eng,B43 5LT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Birmingham - Newhall Square,,Co-op Food,7 Newhall Square,Birmingham,West Midlands,eng,B3 1RU,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Birmingham - Newhall Street,,Co-op Food,Newhall Square,Birmingham,West Midlands,eng,B3 1RU,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Birmingham - University Locks,,Co-op Food,50 Curzon Street,Birmingham,West Midlands,eng,B4 7XJ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bishops Rise,,Co-op Food,Unit 1,Hatfield,Hertfordshire,eng,AL10 9HE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bishopston - Gloucester Road,,Co-op Food,117-121 Gloucester Road,Bristol,Avon,eng,BS7 8AT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Blackhall,,Co-op Food,Middle Street,Hartlepool,Cleveland,eng,TS27 4EA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Blackpool - Highfield Road,,Co-op Food,Highfield Gardens,Blackpool,Lancashire,eng,FY4 5AP,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Blackpool - Normoss Road,,Co-op Food,108 Normoss Road,Blackpool,Lancashire,eng,FY3 8QP,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Blackpool - Victoria Road East,,Co-op Food,Thornton Centre,Thornton-Cleveleys,Lancashire,eng,FY5 5DX,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bognor Regis - Chichester Road,,Co-op Food,33 Chichester Road,Bognor Regis,West Sussex,eng,PO21 2XH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bollington - Wellington Road,,Co-op Food,Wellington Road,Macclesfield,Cheshire,eng,SK10 5JH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bolton-Le-Sands - Bye Pass Road,,Co-op Food,Bye Pass Road,Carnforth,Lancashire,eng,LA5 8JA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bourne - Elsea Park,,Co-op Food,Sedgefield Court,Bourne,Lincolnshire,eng,PE10 0YD,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bourne End - Oakfield Road,,Co-op Food,"Former Parade Court, Marlow Road",Bourne End,Buckinghamshire,eng,SL8 5SE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bournemouth - Christchurch Road,,Co-op Food,38 Christchurch Road,Bournemouth,Dorset,eng,BH1 3PD,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bournemouth - Columbia Road,,Co-op Food,2 Columbia Road,Bournemouth,Dorset,eng,BH10 4DY,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bournemouth - Queens Road,,Co-op Food,14 Queens Road,Bournemouth,Dorset,eng,BH2 6BE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bow - 383-387 Mile End Road,,Co-op Food,383-387 Mile End Road,London,Greater London,eng,E3 4QS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bracebridge Drive,,Co-op Food,73-75 Bracebridge Drive,Nottingham,Nottinghamshire,eng,NG8 4PH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bramcote Lane - Chilwell,,Co-op Food,Bramcote Lane,Nottingham,Nottinghamshire,eng,NG9 5EL,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Brighton - Lewes Road,,Co-op Food,58-62 Lewes Road,Brighton,East Sussex,eng,BN2 3HW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bristol - College Green,,Co-op Food,40-42a College Green,Bristol,Gloucestershire,eng,BS1 5SH,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bristol - Lodge Road,,Co-op Food,Lodge Road,Bristol,Avon,eng,BS15 1JA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Brixham Fore Street,,Co-op Food,75 Fore Street,Brixham,Devon,eng,TQ5 8AG,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Broadwater Crescent,,Co-op Food,247 Broadwater Crescent,Stevenage,Hertfordshire,eng,SG2 8ET,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Brockley - Brockley Road,,Co-op Food,294-296 Brockley Road,Brockley,London,eng,SE4 2RA,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bromley Common,,Co-op Food,2 Chatterton Road,Bromley,Kent,eng,BR2 9QN,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Brook Street,,Co-op Food,22 Brook Street,Ilkley,West Yorkshire,eng,LS29 8DE,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Broomhill Road,,Co-op Food,68 Broomhill Road,Bristol,Avon,eng,BS4 4NZ,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Buckingham Road,,Co-op Food,67b Cheadle Road,Cheadle,Cheshire,eng,SK8 5DW,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bunbury,,Co-op Food,Bunbury Lane,Tarporley,Cheshire,eng,CW6 9QS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Burghfield,,Co-op Food,31-33 Clayhill Road,Reading,Berkshire,eng,RG7 3HF,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Burtonwood - Chapel Lane,,Co-op Food,Chapel Lane,Warrington,Cheshire,eng,WA5 4PS,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Bushbury,,Co-op Food,Kempthorne Avenue,Wolverhampton,West Midlands,eng,WV10 9UN,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Buxton Road,,Co-op Food,1-3 Buxton Road,High Peak,Derbyshire,eng,SK23 7HT,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
,,tb,,Byfleet,,Co-op Food,2 Oyster Lane,West Byfleet,Surrey,eng,KT14 7DU,,,,,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
