identifier,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-gmca-hb3001gv,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-hb3001gv,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-hb3001gv,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-hb3001gv,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ls,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ls,large vehicle,1,Mo-Fr 07:00-18:00; Sa-Su 07:00-17:00; PH 07:00-18:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ls,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3907ls,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907ls,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ml,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ml,large vehicle,1,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ml,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3907ml,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907ml,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908cr,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908cr,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908cr,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3908cr,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908cr,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908fj,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908fj,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908fj,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3908fj,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908fj,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908gq,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908gq,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908gq,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3908gq,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908gq,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907cw,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907cw,large vehicle,1,Mo-Fr 07:00-17:00; Sa 07:00-13:00; Su off; PH 07:00-17:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907cw,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3907cw,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907cw,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908hp,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908hp,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908hp,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3908hp,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908hp,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907fd,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907fd,large vehicle,1,Mo-Fr 07:00-18:00; Sa-Su 07:00-17:00; PH 07:00-18:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907fd,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3907fd,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907fd,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908kl,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908kl,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908kl,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3908kl,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908kl,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907st,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907st,large vehicle,1,Mo-Fr 07:00-17:00; Sa 07:00-13:00; Su off; PH 07:00-17:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907st,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3907st,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907st,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908lm,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908lm,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908lm,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3908lm,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908lm,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908mu,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908mu,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908mu,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3908mu,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908mu,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908tc,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3908tc,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3908tc,small trailer,,,,,,1.8 m,,,,,11/10/2021
,hwrc-eng-gmca-gb3908tc,large trailer,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3908tc,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-ep3396hr,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-ep3396hr,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-ep3396hr,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-ep3396hr,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-ep3396hr,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3391hn,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3391hn,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3391hn,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jp3391hn,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jp3391hn,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-bp3097hc,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-bp3097hc,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-bp3097hc,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-bp3097hc,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-bp3097hc,pedestrian,1,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3691hd,small vehicle,1,,,0,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3691hd,large vehicle,1,,,1,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3691hd,small trailer,1,,,1,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jp3691hd,large trailer,1,,,1,https://www.eventbrite.co.uk/e/brunel-road-hwrc-van-booking-free-service-tickets-157587720113,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jp3691hd,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3738rg,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3738rg,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3738rg,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-eb3738rg,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-eb3738rg,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jb3107lz,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jb3107lz,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jb3107lz,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jb3107lz,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jb3107lz,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3739dr,small vehicle,1,,,0,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3739dr,large vehicle,1,,,1,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3739dr,small trailer,1,,,1,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-eb3739dr,large trailer,1,,,1,https://www.eventbrite.co.uk/e/exton-road-hwrc-van-booking-free-service-tickets-157585631867,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-eb3739dr,pedestrian,1,,,,,,,,,,24/09/2021
,hwrc-eng-dev-cb3309me,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-cb3309me,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-cb3309me,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-cb3309me,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-cb3309me,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-hp3491hn,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-hp3491hn,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-hp3491hn,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-hp3491hn,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-hp3491hn,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-pp3591hp,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-pp3591hp,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-pp3591hp,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-pp3591hp,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-pp3591hp,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-hp3991hp,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-hp3991hp,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-hp3991hp,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-hp3991hp,large trailer,0,,,,,,,,,,11/10/2021
,hwrc-eng-dev-hp3991hp,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3991hs,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3991hs,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3991hs,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jp3991hs,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jp3991hs,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-ap3796ed,small vehicle,1,,,,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-ap3796ed,large vehicle,1,,,1,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-ap3796ed,small trailer,1,,,1,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-ap3796ed,large trailer,1,,,1,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-ap3796ed,pedestrian,1,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3739rt,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3739rt,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3739rt,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-eb3739rt,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-eb3739rt,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3739av,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3739av,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3739av,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-eb3739av,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-eb3739av,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-kb3136ry,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-kb3136ry,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-kb3136ry,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-kb3136ry,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-kb3136ry,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-ep3991hy,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-ep3991hy,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-ep3991hy,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-ep3991hy,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-ep3991hy,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3491hv,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3491hv,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3491hv,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jp3491hv,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jp3491hv,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3091hk,small vehicle,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3091hk,large vehicle,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3091hk,small trailer,1,,,,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jp3091hk,large trailer,1,,,,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-dev-jp3091hk,pedestrian,1,,,,,,,,,,24/09/2021
,hwrc-eng-som-fp3990fa,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-fp3990fa,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-fp3990fa,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-fp3990fa,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-fp3990fa,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-qp3193fr,small vehicle,1,,0,0,,2.0 m,3.0 m,,,,1/10/2021
,hwrc-eng-som-qp3193fr,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-qp3193fr,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-qp3193fr,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-qp3193fr,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-dp3990vk,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-dp3990vk,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-dp3990vk,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-dp3990vk,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-dp3990vk,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-fp3390fx,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-fp3390fx,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-fp3390fx,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-fp3390fx,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-fp3390fx,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-ep3893fy,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-ep3893fy,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-ep3893fy,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-ep3893fy,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-ep3893fy,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-bp3391hx,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-bp3391hx,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-bp3391hx,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-bp3391hx,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-bp3391hx,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-fp3190fs,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-fp3190fs,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-fp3190fs,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-fp3190fs,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-fp3190fs,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-dp3593fn,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-dp3593fn,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-dp3593fn,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-dp3593fn,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-dp3593fn,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-hp3790fv,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-hp3790fv,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-hp3790fv,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-hp3790fv,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-hp3790fv,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-hp3190fm,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-hp3190fm,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-hp3190fm,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-hp3190fm,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-hp3190fm,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-cp3090fy,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-cp3090fy,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-cp3090fy,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-cp3090fy,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-cp3090fy,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-kb3605kr,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-kb3605kr,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-kb3605kr,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-kb3605kr,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-kb3605kr,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-eb3805gz,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-eb3805gz,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-eb3805gz,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-eb3805gz,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-eb3805gz,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-cp3390fl,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-cp3390fl,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-cp3390fl,small trailer,1,,1,0,,,1.8 m,,,small vehicle,11/10/2021
,hwrc-eng-som-cp3390fl,large trailer,1,,1,0,,,3.0 m,,,small vehicle,11/10/2021
,hwrc-eng-som-cp3390fl,pedestrian,0,,,,,,,,,,1/10/2021
